a_isbn,introduction,item_id,total_rating,title,author,sale_price,review_count,isbn,categories,page
8959895520,"12간지의 마지막인 '돼지'의 해를 장식할 <트렌드 코리아 2019>. 세상은 빠르게 변하고 있다. 미세하지만 이전과는 확실히 달라진 '지금'을 포착하고 싶다면 <트렌드 코리아>에 주목하자. 지난 한 해의 트렌드를 되짚어보는 2018년 소비트렌드 회고 편과 내년도 트렌드의 흐름을 예상해보는 2019년 소비트렌드 전망 편, 그리고 <트렌드 코리아> 선정 2018 대한민국 10대 트렌드 상품 편으로 구성했다.

김난도 교수는 2019년의 소비 흐름을 “원자화·세분화하는 소비자들이 환경변화에 적응하며 정체성과 자기 컨셉을 찾아가는 여정”이라는 한 문장으로 요약했다. ‘1인 마켓(세포마켓)’으로 빠르게 세포분열이 진행되고 있는 시장에서 개인과 기업 모두 살아남기 위해서는 ‘컨셉력’을 갖춰야 한다. 또 하나 중요한 흐름은 밀레니얼 세대가 만들어가는 신(新) 가족풍속도인 ‘밀레니얼 가족’의 등장이다. 밥 잘 해주는 것이 아니라 밥 잘 사주는 예쁜 엄마가 지금 시장을 바꾸고 있다.

타인의 시선을 무시하고 자기만의 기준으로 세상을 사는 ‘나나랜드’ 소비자들의 당당함이 주목받는 한편으로, 감정 표현마저 ‘감정 대리인’에게 외주를 맡기는 약한 마음근육의 소유자들이 늘어나는 현상도 포착된다. 과거의 새로움에 눈뜬 ‘뉴트로’족은 카멜레온처럼 무한 변화하는 공간인 ‘카멜레존’을 찾아가고, 인공지능의 시대를 넘어 ‘데이터지능’의 시대가 오면서 이른바 데이터에게 결정을 맡기는 데시젼 포인트(dacision point)가 중요해진다. 

마지막으로, 갑질 근절과 환경보호에 대한 사회적 요구가 더욱 거세질 것으로 전망되면서 ‘매너 소비’와 ‘필(必)환경’이 중요한 키워드로 꼽혔다. 이 둘은 모두 ‘하면 좋은 것’이 아니라 ‘반드시 해야 하는 것’이라는 공통점을 갖는다. 일과 삶의 균형점을 찾는 ‘워라밸’에 이어 근로자와 소비자 매너와의 균형점을 도모하는 ‘워커밸(worker-customer balance)’이 또 하나의 이슈로 떠오를 것이다.",170467155,8.2,트렌드 코리아 2019,"김난도, 전미영, 이향은, 최지혜, 이준영, 김서영, 이수진, 서유현, 권정윤 (지은이) ","15,300원",76,9788959895526.0,"
국내도서 > 경제경영 > 트렌드/미래전망 > 트렌드/미래전망 일반 접기국내도서 > 경제경영 > 경제학/경제일반 > 경제사/경제전망 > 한국 경제사/경제전망 접기국내도서 > 경제경영 > 경제학/경제일반 > 경제이야기 접기국내도서 > 경제경영 > 기업 경영 > 경영전략/혁신 접기
",456.0
8949121921,"2020년 제26회 황금도깨비상 수상작. 백만 구독자를 거느린 유튜브 스타 고양이 ‘강남’을 사장님으로 모시게 된 지훈이의 특별한 아르바이트 체험기를 담은 동화로 심사위원으로부터 “시의성 있는 특별한 소재”가 돋보이며 “상상력이 뛰어날 뿐 아니라 작가의 능청 또한 대단하다”는 평을 들었다.

유튜버는 어린이뿐만 아니라 많은 사람들이 꿈꾸는 주목받는 ‘직업’이 된 지 오래다. <강남 사장님>은 유튜버가 되고자 하는 아이가 주인공이 아니라, 유튜브를 통해 이미 성공을 이뤄 낸 고양이가 등장한다는 면에서 특별하다. 카메라 앞과 뒤에서 다양한 모습을 보여 주며 자신만의 인생철학을 늘어놓는 할배 고양이 ‘강남냥’과 아르바이트로 돈을 모아서 흩어진 가족을 재결합하려는 패기 넘치는 초등학생 지훈이의 코믹한 우정 이야기는 인생의 달고 쓴맛을 보여 주며 꿈과 노력의 대가에 대한 새로운 메시지를 전한다.

실제 네 마리 고양이의 ‘집사’이기도 한 작가 이지음은 길고양이를 품에 안아 주는 아이의 사진을 우연히 보고 이야기의 영감을 얻었다. 고양이의 행동과 습성에 대한 관찰이 녹아든 능청스럽고 독보적인 고양이 캐릭터와 더불어 자신이 처한 상황을 패기 있게 이겨 내려는 열두 살 아이의 모습이 코믹한 대사와 어디로 튈지 모르는 전개를 통해 재미를 놓지 않는 감동을 선사한다.",246808890,9.6,강남 사장님,"이지음 (지은이), 국민지 (그림) ","10,800원",60,9788949121925.0,"
국내도서 > 어린이 > 동화/명작/고전 > 국내창작동화 접기국내도서 > 어린이 > 초등5~6학년 > 동화/명작/고전 접기
국내도서 > 추천도서 > 외부/전문기관 추천도서 > (사)행복한아침독서 추천도서 > 2021년 > 유초중등전체(공공도서관용) 접기국내도서 > 추천도서 > 외부/전문기관 추천도서 > (사)행복한아침독서 추천도서 > 2021년 > 어린이책전체(초등학생) 접기
국내도서 > 추천도서 > 국내 어린이 문학상 > 황금도깨비상 접기
",148.0
K522834190,"히가시노 게이고의 본격 추리물, 특히 베스트셀러 『가면 산장 살인 사건』에 열광했던 독자라면 무척 반길만 한 또 하나의 ‘클로즈드 서클’, 이른바 ‘밀실 살인’을 소재로 다룬 작품이다.

소위 ‘히가시노 게이고 산장 시리즈’ 3부작 중 하나로 일컬어지는 이 소설은 고립된 산장에서 살인 사건이 일어난다는, 어찌 보면 미스터리 소설의 세계에서는 패턴화된 설정일지 모르지만, 그곳에 모인 7명의 남녀가 어느 연극의 오디션에 합격한 배우라는 점, 그들이 연출가의 지시에 따라 살인극을 벌이게 된다는 점 등으로 연극과 현실을 구분하기 힘든 이중, 삼중의 구조 속에서 살인조차 그것이 실제 벌어진 일인지, 아니면 단지 설정에 불과한 것인지를 모호하게 함으로써 독자에게 스릴 넘치는 불안감을 안겨 준다.

이 소설을 원작으로 한 영화가 일본 인기 아이돌 그룹 쟈니즈웨스트의 시게오카 다이키 주연으로 제작되어 2024년 봄 일본에서 개봉될 예정이다.",320896726,8.7,눈에 갇힌 외딴 산장에서,"히가시노 게이고 (지은이), 김난주 (옮긴이) ","16,920원",67,9791192483191.0,"
국내도서 > 소설/시/희곡 > 추리/미스터리소설 > 일본 추리/미스터리소설 접기국내도서 > 소설/시/희곡 > 세계의 문학 > 일본문학 접기
",344.0
K402837513,"모든 걸 포기하려던 순간, 기적처럼 시작된 사랑에 관한 이야기. 제8회 인터넷소설 대상 수상작. 죽고 싶어 하는 소녀 이치노세 쓰키미와 사신에게 수명을 팔아넘긴 대가로 시간을 되돌릴 수 있는 은시계를 얻은 남자 아이바 준, 두 사람이 펼쳐내는 삶과 죽음, 과거와 현재를 넘나드는 시공초월 로맨스.

스스로 수명을 포기하고 3년 시한부 인생을 선택한 아이바 준과 계속해서 자살을 시도하는 이치노세 쓰키미의 이야기는 우리가 보통 끝이라고 생각하는 ‘죽음’에서 시작해 점차 ‘삶’으로 나아가는 독특한 이야기 구조로 독자들에게 신선한 재미를 선사할 뿐 아니라 사랑과 삶의 의미에 대해 다시 한번 생각해보게 하는 묵직한 여운 또한 남길 것이다.",293966952,9.3,"어느 날, 내 죽음에 네가 들어왔다","세이카 료겐 (지은이), 김윤경 (옮긴이) ","13,500원",85,9791191043723.0,"
국내도서 > 소설/시/희곡 > 일본소설 > 1950년대 이후 일본소설 접기국내도서 > 소설/시/희곡 > 세계의 문학 > 일본문학 접기
",404.0
8952795091,"456 Book 클럽 시리즈. 전 세계적으로 700만 부가 팔린 베스트셀러 '나무 집' 시리즈는 미국, 일본, 프랑스, 독일 등 전 세계 25개국에 출간돼 어린이 독자들의 사랑을 받고 있다. '104층 나무 집'에는 돈 찍어 내는 기계, 끝없는 계단, 트림 은행 들이 새로 생긴다. 그리고 이번에도 앤디와 테리는 출판사 사장 큰코 씨에게 원고 독촉을 받는다. 

하지만 앤디가 끔찍한 치통에 시달리는 통에 전혀 글을 쓰지 못한다. 그때, 비행기에 매달린 현수막에서 웃긴 글을 쓰게 해 주는 '말장난 연필 2000™'을 판다는 내용을 보고, 앤디와 테리는 2달러 상점으로 간다. 그런데 이미 다 팔리고 없다. 다행히 200만 달러 상점에 딱 하나 남은 상황. 하지만 두 사람이 가진 돈은 2달러뿐이다. 

돈 찍어 내는 기계로 돈을 만들려 하지만 테리의 실수로 돈이 아닌 꿀이 나오고, 꿀을 먹으려고 몰려온 곰들을 돌려보내는 대신 겨울잠을 자기 전에 새 책을 읽어 주기로 약속한다. 앤디와 테리는 모자란 돈을 채우기 위해 앤디 이빨을 이빨 요정에게 주려 하지만 벌레잡이새에게 빼앗기고, 앤디와 테리와 질은 엄청 고생을 하고서야 겨우 이빨을 되찾아온다.",176584564,9.9,104층 나무 집,"앤디 그리피스 (지은이), 테리 덴톤 (그림), 신수진 (옮긴이) ","12,600원",51,9788952795090.0,"
국내도서 > 어린이 > 동화/명작/고전 > 외국창작동화 접기국내도서 > 어린이 > 초등3~4학년 > 동화/명작/고전 접기
",364.0
K152738321,"6년 전 스페이스X의 일론 머스크가 더 똑똑해지고 싶다는 열망에 한 두뇌 전문가를 찾아 큰 화제가 됐다. 그 전문가는 바로 ‘짐 퀵’이었다. 그는 25년 넘게 세계 정상급의 CEO와 운동선수, 배우 등 각계각층의 성공한 사람들뿐 아니라 UN, 미국 백악관, 하버드대학교, 구글, 나이키, 자포스 등 세계적 기업과 기관, 단체에서 찾는 독보적이고 저명한 브레인 코치다. 세계적인 경제지 《포브스》에서는 “짐 퀵은 지식을 배우거나 일을 하거나 취미로 운동을 하더라도 원하는 수준 이상의 성과를 이루는 법을 알려준다”고 평했다.

짐 퀵은 나이, 배경, 교육, IQ에 상관없이 인간이라면 누구라도 뇌, 추진력, 기억력, 집중력, 습관의 한계를 넘을 수 있다고 주장한다. 이를 실현하기 위해 마인드셋, 동기부여, 방법 이 세 가지 영역을 아우르는 성공 전략을 직접 밝혀냈다. 특히 잠재력을 최대치로 끌어올릴 수 있는 짐 퀵만의 집중, 학습, 기억력, 속독, 사고 전략은 전 세계 195개국의 수억 명이 열광한 매우 효과적이고 널리 검증된 방법들로 그 핵심이 《마지막 몰입: 나를 넘어서는 힘》에 아낌없이 담겨 있다.

짐 퀵이 주목받는 이유는 단순히 성공 전략만이 아니라 그의 극적인 인생 스토리에 있다. 어렸을 때 뇌를 크게 다쳐 평범한 학교생활과 학업이 어려웠던 그는 결국 대학교 중퇴를 결심한다. 책 한 권을 다 읽기 힘들 정도로 어떤 것을 배우고 익혀도 어려움을 겪자 자신의 인생에 한계를 느끼게 된 것이다. 그랬던 그가 ‘배우는 법’을 깊이 연구하고 파고들어 빌 게이츠, 일론 머스크, 버락 오바마, 오프라 윈프리 등 세계 상위 1%가 극찬한 최고의 두뇌 전문가가 되기까지 그의 인생을 바꾼 잠재력의 힘이 무엇인지 이 책을 통해 알게 될 것이다.",264002177,8.8,마지막 몰입,"짐 퀵 (지은이), 김미정 (옮긴이) ","15,120원",88,9791162541968.0,"
국내도서 > 자기계발 > 성공 > 성공학 접기국내도서 > 자기계발 > 창의적사고/두뇌계발 접기
",392.0
K122635029,"『영단기 토익 실전 1000제 1 RC』는 토익 RC 모의고사 10회분으로 구성된 실전서이다. 최신 기출 경향에 맞춰 전 문제 100% 개정하였으며, 별도로 판매했던 문제집과 해설집을 한 권으로 합쳐 수험생들의 편의성을 향상시켰다.",195250951,9.6,영단기 토익 실전 1000제 1 RC 문제집 + 해설집,영단기 연구소 (엮은이) ,"9,900원",5,9791163713975.0,"
국내도서 > 외국어 > 토익 > 실전 접기국내도서 > 외국어 > 토익 > Reading 접기
",544.0
8901243652,"사무실의 분위기를 크게 좌우하는 한 사람이 있다. 출근하면서부터 ‘나 오늘 건드리면 가만 안 둬…’ 경고를 온몸으로 뿜어낸다. 다른 직원들은 슬금슬금 눈치를 보고, 이 사람의 오늘 기분에 따라 사무실은 온탕과 냉탕을 오간다. 왜 자기 선에서 감정을 추스르지 못하고 안 좋은 기분으로 남에게 민폐를 끼치는 걸까?

하지만 그 사람의 마음도 편치는 않다. 이러면 안 된다는 걸 알면서도 밖으로 드러나는 감정을 참을 도리가 없다. 프로다운 모습을 보여야 할 일터에서도 감정 기복을 그대로 보여주면 스스로 손해를 볼 뿐이다. 회사에서뿐만 아니라, 우리는 가족에게나 친구에게 안 좋은 기분을 티 내며 소중한 사람을 질리게 만들어버리고 후회하기도 한다. 

이 책은 기분을 잘 다스리지 못해 기어이 못난 태도를 보여주고 마는 사람들을 위해 쓰였다. 기분에 조종당하고 감정에 휘둘리는 이들이 꼭 알아야 하는 심리에 대해 주로 이야기한다. 우리는 왜 그리 감정에 흔들리는지, 어떻게 해야 감정이 나에게 미치는 영향을 줄일 수 있는지 명쾌한 처방을 받을 수 있다. 저자 레몬심리는 “감정을 통제해야 인생을 통제할 수 있다”고 말한다. 감정에 끌려 다니는 노예가 아니라 주인으로 바로 서는 방법을 배워야 당신의 인생이 달라질 것이다.",243688983,7.8,기분이 태도가 되지 않게,"레몬심리 (지은이), 박영란 (옮긴이) ","15,300원",74,9788901243658.0,"
국내도서 > 자기계발 > 인간관계 > 교양심리학 접기
",196.0
K972635639,"사문을 배신하고 인간의 길을 포기한 악마, 이릉노조夷陵老祖 위무선. 그가 난장강 대토벌전에서 죽자 사람들은 환호한다. 이후 오랜 세월 외로이 떠돌던 위무선의 혼백은 금지된 주술인 헌사를 통해 다른 이의 육신으로 거듭난다. 새로운 몸을 얻은 위무선은 자신의 정체를 숨기려 하나, 그를 둘러싼 운명은 천천히 다시 흐르기 시작하는데……",199045231,9.6,마도조사 1,"묵향동후 (지은이), 이현아 (옮긴이) ","12,600원",62,9791127851446.0,"
국내도서 > 소설/시/희곡 > 로맨스소설 > 국외 BL 접기국내도서 > 소설/시/희곡 > 무협소설 접기국내도서 > 소설/시/희곡 > 세계의 문학 > 중국문학 접기국내도서 > 소설/시/희곡 > 중국소설 접기
",430.0
8936434241,"정세랑 장편소설. 2016년 1월~5월 창비 블로그 연재 당시 50명의 주인공으로 화제를 모았던 작품으로, 수도권의 한 대학병원을 중심으로 느슨하게, 또는 단단하게 연결된 병원 안팎 사람들의 이야기가 흥미진진하면서도 감동적으로 펼쳐진다. 50개의 장(章)으로 구성된 소설 속에서 한사람 한사람이 처한 곤경과 갑작스럽게 겪게 되는 사고들, 그들이 안고 있는 고민은 현재 사회가 맞닥뜨리고 있는 현안과 멀지 않다. 

정세랑은 특유의 섬세함과 다정함으로 50명의 주인공을 찾아 그들의 손을 하나하나 맞잡아주고 있다. 그 손길을 통해 지금 당신이 겪고 있는 아픔과 고통은 혼자만의 것이 아니라고, 우리 사회가 같이 이겨내야 한다고, 그래야 후회 없이 다음 세대로 나아갈 수 있다는 작가의 믿음을 전한다.",96660475,9.0,피프티 피플,정세랑 (지은이) ,"12,600원",175,9788936434243.0,"
국내도서 > 소설/시/희곡 > 한국소설 > 2000년대 이후 한국소설 접기
국내도서 > 추천도서 > 외부/전문기관 추천도서 > 국립중앙도서관 사서가 추천하는.. > 2017년 접기
국내도서 > 추천도서 > 국내 문학상 > 한국일보문학상 접기
",396.0
